fn,tid,title,wordsInTitle,url,imdbRating,ratingCount,duration,year_x,type,nrOfWins,nrOfNominations,nrOfPhotos,nrOfNewsArticles,nrOfUserReviews,nrOfGenre,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,FilmNoir,GameShow,History,Horror,Music,Musical,Mystery,News,RealityTV,Romance,SciFi,Short,Sport,TalkShow,Thriller,War,Western,rank,studio,lifetime_gross,year_y
titles01/tt0075314,tt0075314,taxidriver,taxi driver,http://www.imdb.com/title/tt0075314/,8.4,351181.0,6780.0,1976.0,video.movie,26,9,80,1830,768,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2742,Col.,28262574,1976
titles01/tt0078788,tt0078788,apocalypsenow,apocalypse now,http://www.imdb.com/title/tt0078788/,8.5,333178.0,9180.0,1979.0,video.movie,17,30,76,1356,896,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,877,MGM,83471511,1979
titles01/tt0079944,tt0079944,stalker,stalker,http://www.imdb.com/title/tt0079944/,8.2,47589.0,9780.0,1979.0,video.movie,2,1,15,34,253,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9481,Jan.,269881,2017
titles01/tt0082096,tt0082096,dasboot,das boot,http://www.imdb.com/title/tt0082096/,8.5,127022.0,8940.0,1981.0,video.movie,13,5,94,67,397,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4419,Col.,11487676,1982
titles01/tt0083987,tt0083987,gandhi,gandhi,http://www.imdb.com/title/tt0083987/,8.1,121887.0,11460.0,1982.0,video.movie,30,16,108,304,222,3,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1558,Col.,52767889,1982
titles01/tt0086879,tt0086879,amadeus,amadeus,http://www.imdb.com/title/tt0086879/,8.4,198201.0,9600.0,1984.0,video.movie,33,13,66,242,500,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1585,Orion,51973029,1984
titles01/tt0089881,tt0089881,ran,ran,http://www.imdb.com/title/tt0089881/,8.3,58697.0,9720.0,1985.0,video.movie,28,18,25,106,220,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5854,OrionC,4135750,1985
titles01/tt0091763,tt0091763,platoon,platoon,http://www.imdb.com/title/tt0091763/,8.2,217699.0,7200.0,1986.0,video.movie,22,10,47,467,476,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,398,Orion,138530565,1986
titles01/tt0093058,tt0093058,fullmetaljacket,full metal jacket,http://www.imdb.com/title/tt0093058/,8.4,334586.0,6960.0,1987.0,video.movie,7,7,53,621,621,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1788,WB,46357676,1987
titles01/tt0095765,tt0095765,cinemaparadiso,cinema paradiso,http://www.imdb.com/title/tt0095765/,8.5,103093.0,9300.0,1988.0,video.movie,19,22,60,215,357,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4292,Mira.,12397210,1990
titles01/tt0109830,tt0109830,forrestgump,forrest gump,http://www.imdb.com/title/tt0109830/,8.8,799314.0,8520.0,1994.0,video.movie,38,46,56,1908,1133,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,58,Par.,330252182,1994
titles01/tt0110912,tt0110912,pulpfiction,pulp fiction,http://www.imdb.com/title/tt0110912/,9.0,911042.0,9240.0,1994.0,video.movie,62,46,87,3824,1818,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,611,Mira.,107928762,1994
titles01/tt0112573,tt0112573,braveheart,braveheart,http://www.imdb.com/title/tt0112573/,8.4,523797.0,10620.0,1995.0,video.movie,19,20,89,975,1008,3,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,Par.,75609945,1995
titles01/tt0112641,tt0112641,casino,casino,http://www.imdb.com/title/tt0112641/,8.2,236730.0,10680.0,1995.0,video.movie,3,7,69,550,498,3,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1940,Uni.,42512375,1995
titles01/tt0113277,tt0113277,heat,heat,http://www.imdb.com/title/tt0113277/,8.3,324264.0,10200.0,1995.0,video.movie,0,0,64,1030,841,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1158,WB,67436818,1995
titles01/tt0113277,tt0113277,heat,heat,http://www.imdb.com/title/tt0113277/,8.3,324264.0,10200.0,1995.0,video.movie,0,0,64,1030,841,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6343,NCeV,2793214,1987
titles01/tt0114709,tt0114709,toystory,toy story,http://www.imdb.com/title/tt0114709/,8.3,410650.0,4860.0,1995.0,video.movie,19,13,121,5068,311,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,BV,415004880,2010
titles01/tt0114709,tt0114709,toystory,toy story,http://www.imdb.com/title/tt0114709/,8.3,410650.0,4860.0,1995.0,video.movie,19,13,121,5068,311,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,BV,245852179,1999
titles01/tt0114709,tt0114709,toystory,toy story,http://www.imdb.com/title/tt0114709/,8.3,410650.0,4860.0,1995.0,video.movie,19,13,121,5068,311,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,BV,191796233,1995
titles01/tt0435761,tt0435761,toystory,toy story,http://www.imdb.com/title/tt0435761/,8.5,356405.0,6180.0,2010.0,video.movie,36,44,97,5842,657,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,BV,415004880,2010
titles01/tt0435761,tt0435761,toystory,toy story,http://www.imdb.com/title/tt0435761/,8.5,356405.0,6180.0,2010.0,video.movie,36,44,97,5842,657,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,BV,245852179,1999
titles01/tt0435761,tt0435761,toystory,toy story,http://www.imdb.com/title/tt0435761/,8.5,356405.0,6180.0,2010.0,video.movie,36,44,97,5842,657,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,BV,191796233,1995
titles02/index.html.4173,tt0120363,toystory,toy story,http://www.imdb.com/title/tt0120363/,7.9,276727.0,5520.0,1999.0,video.movie,19,20,230,1140,483,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,BV,415004880,2010
titles02/index.html.4173,tt0120363,toystory,toy story,http://www.imdb.com/title/tt0120363/,7.9,276727.0,5520.0,1999.0,video.movie,19,20,230,1140,483,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,BV,245852179,1999
titles02/index.html.4173,tt0120363,toystory,toy story,http://www.imdb.com/title/tt0120363/,7.9,276727.0,5520.0,1999.0,video.movie,19,20,230,1140,483,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,BV,191796233,1995
titles01/tt0114746,tt0114746,monkeys,monkeys,http://www.imdb.com/title/tt0114746/,8.1,342200.0,7740.0,1995.0,video.movie,10,8,47,335,498,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1426,Uni.,57141459,1995
titles01/tt0114787,tt0114787,underground,underground,http://www.imdb.com/title/tt0114787/,8.2,30610.0,10200.0,1995.0,video.movie,6,6,10,38,118,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10124,NYer,171082,1997
titles01/tt0118715,tt0118715,thebiglebowski,the big lebowski,http://www.imdb.com/title/tt0118715/,8.2,380503.0,7020.0,1998.0,video.movie,1,9,73,1394,972,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3644,Gram.,17451873,1998
titles01/tt0119488,tt0119488,laconfidential,l a confidential,http://www.imdb.com/title/tt0119488/,8.3,319796.0,8280.0,1997.0,video.movie,78,48,59,82,591,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1231,WB,64616940,1997
titles01/tt0120586,tt0120586,americanhistoryx,american history x,http://www.imdb.com/title/tt0120586/,8.6,550302.0,7140.0,1998.0,video.movie,3,9,42,472,1344,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5208,NL,6719864,1998
titles01/tt0120689,tt0120689,thegreenmile,the green mile,http://www.imdb.com/title/tt0120689/,8.5,499240.0,11340.0,1999.0,video.movie,15,23,45,808,1290,3,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407,WB,136801374,1999
titles01/tt0137523,tt0137523,fightclub,fight club,http://www.imdb.com/title/tt0137523/,8.9,900388.0,8340.0,1999.0,video.movie,5,13,215,2613,2676,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2208,Fox,37030102,1999
titles01/tt0169547,tt0169547,americanbeauty,american beauty,http://www.imdb.com/title/tt0169547/,8.5,602828.0,7320.0,1999.0,video.movie,91,74,88,2285,2648,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,DW,130096601,1999
titles01/tt0172495,tt0172495,gladiator,gladiator,http://www.imdb.com/title/tt0172495/,8.5,661296.0,9300.0,2000.0,video.movie,51,80,197,2447,2277,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,DW,187705427,2000
titles01/tt0172495,tt0172495,gladiator,gladiator,http://www.imdb.com/title/tt0172495/,8.5,661296.0,9300.0,2000.0,video.movie,51,80,197,2447,2277,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4752,Col.,9223441,1992
titles01/tt0180093,tt0180093,requiemforadream,requiem for a dream,http://www.imdb.com/title/tt0180093/,8.4,413539.0,6120.0,2000.0,video.movie,27,36,134,918,1842,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6018,Art.,3635482,2000
