rank,title,studio,lifetime_gross,year
4165,bodyofevidence,MGM,13273595,1993
4166,classact,WB,13272113,1992
4167,themodsquad,MGM,13263993,1999
4168,case,ParV,13261851,2010
4169,visitinghours,Fox,13258670,1982
4170,feardotcom,WB,13258249,2002
4171,rollerboogie,MGM,13253715,1979
4172,vicesquad,Emb,13253583,1982
4173,trespass,Uni.,13249535,1992
4174,crazypeople,Par.,13236513,1990
4175,insidellewyndavis,CBS,13235319,2013
4176,daddydaycamp,SonR,13235267,2007
4177,enchantedapril,Mira.,13200170,1992
4178,revengeoftheninja,MGM,13168027,1983
4179,critters,NL,13167232,1986
4180,greedy,Uni.,13137484,1994
4181,rosewood,WB,13130349,1997
4182,jasonx,NL,13121555,2002
4183,drtandthewomen,Art.,13113041,2000
4184,authorauthor,Fox,13111101,1982
4185,backtothebeach,Par.,13110903,1987
4186,frailty,Lions,13110448,2002
4187,therumdiary,FD,13109815,2011
4188,playingforkeeps,FD,13102272,2012
4189,theevilthatmendo,TriS,13102025,1984
4190,hillarysamericathesecrethistoryofthedemocraticparty,QF,13099931,2016
4191,whiplash,SPC,13092000,2014
4192,flyboys,MGM,13090630,2006
4193,americanme,Uni.,13086430,1992
4194,catseye,MGM,13086298,1985
4195,thhour,BV,13084595,2002
4196,clockers,Uni.,13071518,1995
4197,thebigfix,Uni.,13062708,1978
4198,whipit,FoxS,13043363,2009
4199,angelasashes,Par.,13042112,1999
4200,howtoeatfriedworms,NL,13040527,2006
4201,houseofsandandfog,DW,13040288,2003
4202,tobeornottobe,Fox,13030214,1983
4203,imgonnagityousucka,UA,13030057,1988
4204,thegreattrainrobbery,MGM,13027857,1979
4205,thecrew,BV,13023075,2000
4206,theconcordeairport,Uni.,13015688,1979
4207,religulous,LGF,13011160,2008
4208,theylive,Uni.,13008928,1988
4209,wickerpark,MGM,13001257,2004
4210,strokerace,Uni.,13000000,1983
4211,visionquest,WB,12993175,1985
4212,thequietamerican,Mira.,12988801,2002
4213,doyoubelieve,PFR,12985600,2015
4214,thepirateswhodontdoanything,Uni.,12981269,2008
4215,mansbestfriend,NL,12974636,1993
4216,realgenius,TriS,12952019,1985
4217,blackdog,Uni.,12951088,1998
4218,aprilfoolsday,Par.,12947763,1986
4219,perfect,Col.,12918858,1985
4220,livingoutloud,NL,12905901,1998
4221,volver,SPC,12899867,2006
4222,afaroffplace,BV,12890752,1993
4223,godsandgenerals,WB,12882934,2003
4224,senseless,Dim.,12874899,1998
4225,trueconfessions,MGM,12850276,1981
4226,theassociate,BV,12844057,1996
4227,thehoneymooners,Par.,12843849,2005
4228,wescravenpresentsthey,Dim.,12840842,2002
4229,lastmarriedcoupleinamerica,Uni.,12835544,1980
4230,mrwrong,BV,12825141,1996
4231,annakarenina,Focus,12816367,2012
4232,highlanderendgame,Mira.,12811858,2000
4233,shootemup,NL,12807139,2007
4234,marvinsroom,Mira.,12803305,1996
4235,rachelgettingmarried,SPC,12796841,2008
4236,beastsofthesouthernwild,FoxS,12795746,2012
4237,mysticpizza,Gold.,12793213,1988
4238,thefounder,Wein.,12786053,2017
4239,ihearthuckabees,FoxS,12785432,2004
4240,theeveningstar,Par.,12767815,1996
4241,undisputed,Mira.,12764657,2002
4242,silenthouse,ORF,12754783,2012
4243,weekendatberniesii,TriS,12741891,1993
4244,atlanticcity,Par.,12729675,1981
4245,mrniceguy,NL,12716953,1998
4246,thenewworld,NL,12712093,2005
4247,carol,Wein.,12711491,2015
4248,doa,BV,12706478,1988
4249,boncopbadcop,All.,12665721,2006
4250,thespitfiregrill,Sony,12658486,1996
4251,thebedroomwindow,DEG,12640385,1987
4252,triple,ORF,12639297,2016
4253,battleofthesexes,FoxS,12638526,2017
4254,everybodysallamerican,WB,12638294,1988
4255,houseofcorpses,Lions,12634962,2003
4256,badinfluence,Triu,12626043,1990
4257,thelegendoftheloneranger,Uni.,12617845,1981
4258,theomegacode,Prov.,12614346,1999
4259,winterstale,WB,12600231,2014
4260,thematador,Wein.,12594698,2005
4261,underthesamemoon,Wein.,12590147,2008
4262,aneducation,SPC,12574914,2009
4263,idlewild,Uni.,12571185,2006
4264,lovemercy,RAtt.,12551031,2015
4265,ithinkilovemywife,FoxS,12550605,2007
4266,thelightbetweenoceans,BV,12545979,2016
4267,hellraiseriiihellonearth,Mira.,12534961,1992
4268,amityvilleiithepossession,Orion,12534817,1982
4269,gattaca,Sony,12532777,1997
4270,compromisingpositions,Par.,12531831,1985
4271,judgmentnight,Uni.,12526677,1993
4272,freedomland,SonR,12512886,2006
4273,cirquedusoleilworldsaway,Par.,12512862,2012
4274,blackmask,Art.,12504289,1999
4275,evening,Focus,12492481,2007
4276,thefrenchconnection,Fox,12484444,1975
4277,theweatherman,Par.,12482775,2005
4278,eighthgrade,A24,12480476,2018
4279,firstmondayinoctober,Par.,12480249,1981
4280,lovejones,NL,12479335,1997
4281,extreme,Imax,12475172,1999
4282,whydofoolsfallinlove,WB,12461773,1998
4283,themarryingman,BV,12454768,1991
4284,vanishingpoint,Fox,12442673,1971
4285,lifewithmikey,BV,12440858,1993
4286,peoplelikeus,BV,12434778,2012
4287,strangemagic,BV,12429583,2015
4288,thefourthprotocol,Lori,12423831,1987
4289,irreconcilabledifferences,WB,12414210,1984
4290,lonestar,SPC,12408986,1996
4291,monsignor,Fox,12408066,1982
4292,cinemaparadiso,Mira.,12397210,1990
4293,lessthanzero,Fox,12396383,1987
4294,readytorumble,WB,12394327,2000
4295,dangal,UTV,12391761,2016
4296,thedarkestminds,Fox,12389035,2018
4297,thepostmanalwaysringstwice,Par.,12376625,1981
4298,ashotinthedark,UA,12368234,1964
4299,silverbullet,Par.,12361866,1985
4300,escapefromtheplanetoftheapes,Fox,12348905,1971
4301,undercoverblues,MGM,12324660,1993
4302,hottubtimemachine,Par.,12314651,2015
4303,misspettigrewlivesforaday,Focus,12313694,2008
4304,clubparadise,WB,12308521,1986
4305,nomercy,TriS,12303904,1986
4306,enemymine,Fox,12303411,1985
4307,highlanderthefinaldimension,Mira.,12303080,1995
4308,astrangeramongus,BV,12282994,1992
4309,trueromance,WB,12281551,1993
4310,selfless,Focus,12279691,2015
4311,casualsex,Uni.,12277096,1988
4312,littlebigleague,Col.,12267790,1994
4313,breakinalltherules,SGem,12264319,2004
4314,confidence,Lions,12251640,2003
4315,beforeifall,ORF,12241122,2017
4316,farfromthemaddingcrowd,FoxS,12236500,2015
4317,rounds,Fox,12234694,2009
4318,lonewolfmcquade,Orion,12232628,1983
4319,the,WB,12227722,2015
4320,barneysgreatadventure,Poly,12218638,1998
4321,illbehomeforchristmas,BV,12214338,1998
4322,hideaway,Sony,12201255,1995
4323,familybusiness,TriS,12195695,1989
4324,chasingliberty,WB,12195626,2004
4325,savinggrace,FL,12178602,2000
4326,dreamscape,Fox,12145169,1984
4327,pinkcadillac,WB,12143484,1989
4328,letmein,Over.,12134935,2010
4329,roommates,BV,12096881,1995
4330,byebyelove,Fox,12096673,1995
4331,foxcatcher,SPC,12096300,2014
4332,hellboundhellraiserii,NW,12090735,1988
4333,soulmen,MGM/W,12082391,2008
4334,holyman,BV,12069719,1998
4335,extraordinarymeasures,CBS,12068313,2010
4336,shesoutofcontrol,Col.,12065892,1989
4337,sunshinecleaning,Over.,12062558,2009
4338,thelaststand,LGF,12050299,2013
4339,theblackstallionreturns,MGM,12049108,1983
4340,fatalbeauty,MGM,12046526,1987
4341,theprotector,W/DD,12044087,2006
4342,chasingamy,Mira.,12021272,1997
4343,indreams,DW,12017369,1999
4344,thegift,ParC,12008642,2000
4345,bignight,Gold.,12008376,1996
4346,blowout,Film,12000000,1981
4347,cominatya,Film,12000000,1981
4348,theswordinthestone,BV,12000000,1983
4349,thekingandi,WB,11993021,1999
4350,zoom,SonR,11989328,2006
4351,phantasm,AVCO,11988469,1979
4352,endofthespear,RM,11967000,2006
4353,sororityrow,Sum.,11965282,2009
4354,romanjisraelesq,Sony,11962778,2017
4355,brightonbeachmemoirs,Uni.,11957943,1986
4356,firewalker,Can.,11949484,1986
4357,deathstalker,NW,11919250,1983
4358,thethirteenthfloor,Sony,11916661,1999
4359,upgrade,BH Tilt,11916615,2018
4360,thedarjeelinglimited,FoxS,11902715,2007
4361,makinglove,Fox,11897978,1982
4362,sydneywhite,Uni.,11892415,2007
4363,gleethedconcertmovie,Fox,11862398,2011
4364,padmaavat,VPD,11846060,2018
4365,slidingdoors,Mira.,11841544,1998
4366,talesfromthehood,Sav.,11837928,1995
4367,alaska,Sony,11829959,1996
4368,thecookout,Lions,11814019,2004
4369,backroads,WB,11809387,1981
4370,bloodsport,Can.,11806119,1988
4371,meetdave,Fox,11803254,2008
4372,ninjaskickback,TriS,11798854,1994
4373,zelig,WB,11798616,1983
4374,caddyshackii,WB,11798302,1988
4375,thelordsofdiscipline,Par.,11787127,1983
4376,strictlyballroom,Mira.,11738022,1993
4377,davechappellesblockparty,Rog.,11718595,2006
4378,knockaroundguys,NL,11715637,2002
4379,usedcars,Col.,11715321,1980
4380,upthecreek,Orion,11708269,1984
4381,wingedmigration,SPC,11689053,2003
4382,fiftyshadesofblack,ORF,11686940,2016
4383,theadventuresofelmoingrouchland,Sony,11683047,1999
4384,gone,LG/S,11682205,2012
4385,girlwithapearlearring,Lions,11670971,2003
4386,survivingchristmas,DW,11663156,2004
4387,rockadoodle,Gold.,11657385,1992
4388,farfromhometheadventuresofyellowdog,Fox,11642946,1995
4389,halloween,Gal.,11642254,1989
4390,themuse,USA,11614954,1999
4391,thelastkiss,P/DW,11614790,2006
4392,thepromise,Uni.,11606005,1979
4393,grossanatomy,BV,11604598,1989
4394,lifeforce,TriS,11603545,1985
4395,soimarriedanaxemurderer,TriS,11585483,1993
4396,graveyardshift,Par.,11582891,1990
4397,wingcommander,Fox,11578059,1999
4398,getoverit,Mira.,11576464,2001
4399,henryjune,Uni.,11567449,1990
4400,policeacademycityundersiege,WB,11567217,1989
4401,theothersideofthemountainpartii,Uni.,11565678,1978
4402,thelegendofdrunkenmaster,Mira.,11555430,2000
4403,pumpupthevolume,NL,11541758,1990
4404,boysdontcry,FoxS,11540607,1999
4405,turbulence,MGM,11538235,1997
4406,theconspirator,RAtt.,11538204,2011
4407,thelongshots,MGM/W,11537046,2008
4408,youngeinstein,WB,11536599,1989
4409,supersizeme,IDP,11536423,2004
4410,fairgame,WB,11534477,1995
4411,justoneoftheguys,Col.,11528900,1985
4412,nomanchesfrida,PNT,11528613,2016
4413,mulhollandfalls,MGM,11526099,1996
4414,shattered,MGM,11511031,1991
4415,armyofdarkness,Uni.,11502976,1993
4416,thewords,CBS,11494838,2012
4417,thief,MGM,11492915,1981
4418,theriver,Uni.,11489982,1984
4419,dasboot,Col.,11487676,1982
4420,thebeauticianandthebeast,Par.,11486880,1997
4421,somethingnew,Focus,11468568,2006
4422,materialgirls,MGM,11449638,2006
4423,moonoverparador,Uni.,11444204,1988
4424,theref,BV,11439193,1994
4425,doubleteam,Sony,11438337,1997
4426,theshippingnews,Mira.,11434216,2001
4427,thepowerpuffgirlsmovie,WB,11412414,2002
4428,copsandrobbersons,TriS,11391093,1994
4429,jennifer,Par.,11390479,1992
4430,theseduction,Emb,11378339,1982
4431,thumbelina,WB,11373501,1994
4432,unforgettable,WB,11368012,2017
4433,thelegacy,Uni.,11364985,1979
4434,opportunityknocks,Uni.,11359129,1990
4435,balto,Uni.,11348324,1995
4436,careeropportunities,Uni.,11336986,1991
4437,manhattanmurdermystery,TriS,11330911,1993
4438,outofthefurnace,Rela.,11330849,2013
4439,antitrust,MGM,11328094,2001
4440,extremeprejudice,TriS,11307844,1987
4441,casanova,BV,11304403,2005
4442,tank,Uni.,11302884,1984
4443,readytowear,Mira.,11300653,1994
4444,whostheman,NL,11299730,1993
4445,thelivesofothers,SPC,11286112,2007
4446,onegoodcop,BV,11276846,1991
4447,lordsofdogtown,Sony,11273517,2005
4448,chillfactor,WB,11263966,1999
4449,brotherhoodofthewolf,Uni.,11260096,2002
4450,cyberworldd,Imax,11253900,2000
4451,spiritedaway,BV,11252650,2002
4452,bobby,MGM/W,11242801,2006
4453,janeeyre,Focus,11242660,2011
4454,islandoflemursmadagascar,WB,11242362,2014
4455,thesmurfsandthemagicflute,Atl,11234220,1983
4456,theadventuresofpriscillaqueenofthedesert,Gram.,11220670,1994
4457,qa,TriS,11207891,1990
4458,deeprising,BV,11203026,1998
4459,bekindrewind,NL,11175164,2008
4460,forloveormoney,Uni.,11146270,1993
4461,returntooz,BV,11137801,1985
4462,threeidenticalstrangers,Neon,11136936,2018
4463,daysinthevalley,MGM,11132210,1996
4464,fallinginlove,Par.,11129057,1984
4465,viwarshawski,BV,11128309,1991
4466,whispersinthedark,Par.,11124511,1992
4467,thedanishgirl,Focus,11114018,2015
4468,hardtohold,Uni.,11113806,1984
4469,cafesociety,LGF,11103205,2016
4470,bigtroubleinlittlechina,Fox,11100000,1986
4471,ragtime,Par.,11099118,1981
4472,michaelcollins,WB,11092559,1996
4473,maddogandglory,Uni.,11081586,1993
4474,myfamily,NL,11079373,1995
4475,wildorchid,Triu,11060485,1990
4476,inthelandofwomen,WB,11052958,2007
4477,krushgroove,WB,11052713,1985
4478,houseofflyingdaggers,SPC,11050094,2004
4479,mrshendersonpresents,Wein.,11036366,2005
4480,thewildlife,Uni.,11020375,1984
4481,doomsday,Rog.,11008770,2008
4482,thecouchtrip,Lori,11005304,1988
4483,theastronautfarmer,WB,11003643,2007
4484,theyoungvictoria,App.,11001272,2009
4485,thesuper,Fox,11000863,1991
4486,themirrorcrackd,AFD,11000000,1980
4487,thelastflightofnoahsark,BV,11000000,1980
4488,giveemhellharry,,11000000,1975
4489,hangemhigh,UA,11000000,1968
4490,adrenalinerushthescienceofrisk,GSF,10994028,2002
4491,whosharrycrumb,TriS,10982364,1989
4492,dragonwars,Free,10977721,2007
4493,themanwholovedwomen,Col.,10964231,1983
4494,momentbymoment,Uni.,10963824,1978
4495,nunsontherun,Fox,10959015,1990
4496,whatthedoweknow,CLD,10942306,2004
4497,prideandprejudiceandzombies,SGem,10938134,2016
4498,leaveittobeaver,Uni.,10925060,1997
4499,cookiesfortune,Oct.,10920544,1999
4500,stoploss,Par.,10915744,2008
4501,theenglishmanwhowentupahillbutcamedownamountain,Mira.,10904930,1995
4502,deadmandown,FD,10895295,2013
4503,thepinkpanther,UA,10878107,1964
4504,narrowmargin,TriS,10873237,1990
4505,victory,Par.,10853418,1981
4506,rollover,WB,10851261,1981
4507,theendoftheaffair,Sony,10827816,1999
4508,officespace,Fox,10827810,1999
4509,extract,Mira.,10823158,2009
4510,moving,WB,10815378,1988
4511,gotcha,Uni.,10806919,1985
4512,draculadeadandlovingit,Sony,10772144,1995
4513,gettysburg,NL,10769960,1993
4514,newyorkstories,BV,10763469,1989
4515,missinginactioniithebeginning,Can.,10755447,1985
4516,thedarkness,BH Tilt,10753574,2016
4517,staytuned,WB,10736401,1992
4518,abandon,Par.,10727683,2002
4519,belle,FoxS,10726630,2014
4520,glengarryglenross,NL,10725228,1992
4521,thedrop,FoxS,10724389,2014
4522,driveangry,Sum.,10721033,2011
4523,thebeguiled,Focus,10709995,2017
4524,thefiendishplotofdrfumanchu,WB,10697276,1980
4525,robocop,Orion,10696210,1993
4526,deconstructingharry,FL,10686841,1997
4527,fearandloathinginlasvegas,Uni.,10680275,1998
4528,hercules,MGM,10676194,1983
4529,theastronautswife,NL,10672566,1999
4530,universalsoldierthereturn,Sony,10667893,1999
4531,thegunman,ORF,10664749,2015
4532,nocturnalanimals,Focus,10663357,2016
4533,islandofthesharks,Imax,10658505,1999
4534,twoifbysea,WB,10658278,1996
4535,thepackage,Orion,10647219,1989
4536,thepurpleroseofcairo,Orion,10631333,1985
4537,movingviolations,Fox,10627754,1985
4538,wolfen,WB,10626725,1981
4539,pk,UTV,10616104,2014
4540,thedarkhalf,Orion,10611160,1993
4541,afterhours,WB,10609321,1985
4542,thehouseonsororityrow,FVI,10604986,1983
4543,broadwaydannyrose,Orion,10600497,1984
4544,playmistyforme,Uni.,10600000,1971
4545,beautifulgirls,Mira.,10597759,1996
4546,primeval,BV,10597734,2007
4547,noteasilybroken,SGem,10572742,2009
4548,dropdeadgorgeous,NL,10571408,1999
4549,threetotango,WB,10570375,1999
4550,husbandsandwives,TriS,10555619,1992
4551,werenoangels,Par.,10555348,1989
4552,jonahhex,WB,10547117,2010
4553,madcity,WB,10541523,1997
4554,magicinthemoonlight,SPC,10539326,2014
4555,wheretheboysare,TriS,10530000,1984
4556,scoop,Focus,10525717,2006
4557,hereonearth,Fox,10522168,2000
4558,sabotage,ORF,10508518,2014
4559,getaway,WB,10501938,2013
4560,americanninja,Can.,10499694,1985
4561,ironeagleii,TriS,10497324,1988
4562,silentrage,Col.,10490791,1982
4563,lightofday,TriS,10489617,1987
4564,campnowhere,BV,10475705,1994
4565,narc,Par.,10465659,2002
4566,homefries,WB,10459961,1998
4567,thenewtonboys,Fox,10452012,1998
4568,arageinharlem,Mira.,10438504,1991
4569,thiefofhearts,Par.,10435015,1984
4570,interiors,UA,10432366,1978
4571,momsnightout,TriS,10429707,2014
4572,thebrothersmcmullen,FoxS,10426506,1995
4573,illdoanything,Col.,10424645,1994
4574,headoverheels,Uni.,10424470,2001
4575,savannahsmiles,Emb,10413170,1982
4576,raiseyourvoice,NL,10411980,2004
4577,rovingmars,BV,10407978,2006
4578,operationcondor,Mira.,10405394,1997
4579,fiddlerontheroof,UA,10404330,1971
4580,theperfectscore,Par.,10391003,2004
4581,stardustmemories,UA,10389003,1980
4582,thescarletletter,BV,10382407,1995
4583,livebynight,WB,10378555,2016
4584,doctordetroit,Uni.,10375893,1983
4585,dealofthecentury,WB,10369581,1983
4586,ud,NGE,10363341,2008
4587,thewitches,WB,10360553,1990
4588,themanwithtwobrains,WB,10353438,1983
4589,disorderlies,WB,10348437,1987
4590,lookwhostalkingnow,TriS,10340263,1993
4591,pandorum,Over.,10330853,2009
4592,strawdogs,SGem,10324441,2011
4593,knockoff,Sony,10319915,1998
4594,igotthehookup,Mira.,10317779,1998
4595,lavieenrose,PicH,10301706,2007
4596,betteroffdead,WB,10297601,1985
4597,whitesquall,BV,10292300,1996
4598,shopgirl,BV,10284523,2005
4599,theyearoflivingdangerously,WB,10278575,1983
4600,someonetowatchoverme,Col.,10278549,1987
4601,whiteout,WB,10275638,2009
4602,theboondocksaintsiiallsaintsday,App.,10273188,2009
4603,santavsthesnowman,Imax,10259134,2002
4604,kinsey,FoxS,10254979,2004
4605,houseofthedead,Art.,10249719,2003
4606,pathfinderlegendoftheghostwarrior,Fox,10232081,2007
4607,themiracleseason,Mirr/LD,10230620,2018
4608,airbudgoldenreceiver,Mira.,10224116,1998
4609,inthemix,Lions,10223896,2005
4610,unfinishedbusiness,Fox,10219501,2015
4611,brainstorm,MGM,10219460,1983
4612,sororityboys,BV,10200032,2002
4613,theintouchables,Wein.,10198820,2012
4614,yousocrazy,Gold.,10184701,1994
4615,winwin,FoxS,10179275,2011
4616,lostinamerica,WB,10179000,1985
4617,facingthegiants,IDP,10178331,2006
4618,lovesick,WB,10171304,1983
4619,domino,NL,10169202,2005
4620,thegreatraid,Mira.,10167373,2005
4621,thebelkoexperiment,BH Tilt,10166820,2017
4622,cyborg,Can.,10166459,1989
4623,sunsetpark,Sony,10163782,1996
4624,henryv,Gold.,10161099,1989
4625,bats,Dest.,10155690,1999
4626,thefountain,WB,10144010,2006
4627,hoodwinkedtoohoodvsevil,Wein.,10143779,2011
4628,thewalk,TriS,10137502,2015
4629,prom,BV,10130219,2011
4630,swimmingpool,Focus,10130108,2003
4631,afamilything,MGM,10125417,1996
4632,brokedownpalace,Fox,10115013,1999
4633,possession,Focus,10113733,2002
4634,buddy,Sony,10113400,1997
4635,thewash,Lions,10097538,2001
4636,thegirlwiththedragontattoo,MBox,10095170,2010
4637,underthecherrymoon,WB,10090429,1986
4638,pulseastompodyssey,GSF,10086514,2002
4639,mrswinterbourne,Sony,10082005,1996
4640,shakedown,Uni.,10068039,1988
4641,boilingpoint,WB,10058318,1993
4642,nationallampoonsclassreunion,Fox,10054150,1982
4643,marshall,ORF,10051659,2017
4644,crywolf,Rog.,10047674,2005
4645,luckynumbers,Par.,10042516,2000
4646,godzilla,Sony,10037390,2000
4647,whatseatinggilbertgrape,Par.,10032765,1993
4648,nextdayair,Sum.,10027047,2009
4649,dirtywork,MGM,10023282,1998
4650,theladyinthevan,SPC,10021175,2015
4651,hopeandglory,Col.,10021120,1987
4652,thehappytimemurders,STX,10020000,2018
4653,cutthroatisland,MGM,10017322,1995
4654,alittleprincess,WB,10015449,1995
4655,penelope,Sum.,10011996,2008
4656,bratz,LGF,10010209,2007
4657,theunbearablelightnessofbeing,Orion,10006806,1988
4658,thetwojakes,Par.,10005969,1990
4659,terrorintheaisles,Uni.,10004817,1984
4660,thehollywoodknights,Col.,10000000,1980
4661,oncebitten,Gold.,10000000,1985
4662,nashville,Par.,9984123,1975
4663,lassie,Par.,9979683,1994
4664,criminallaw,Hemd,9974446,1989
4665,dudleydoright,Uni.,9974410,1999
4666,murphyslaw,Can.,9947631,1986
4667,brazil,Uni.,9929135,1985
4668,immortalbeloved,Sony,9914409,1994
4669,straighttime,WB,9900000,1978
4670,verybadthings,Poly,9898412,1998
4671,theonionfield,AVCO,9890597,1979
4672,nightfallsonmanhattan,Par.,9889670,1997
4673,miamiblues,Orion,9888167,1990
4674,explorers,Par.,9873044,1985
4675,dunstonchecksin,Fox,9871065,1996
4676,serial,Par.,9870727,1980
4677,maidtoorder,NCeV,9868521,1987
4678,jade,Par.,9851610,1995
4679,lagrandeseduction,Ode.,9844180,2003
4680,strikes,MGM,9832166,2000
4681,hankypanky,Col.,9823934,1982
4682,hesaidshesaid,Par.,9804775,1991
4683,baddreams,Fox,9797098,1988
4684,theexpress,Uni.,9793406,2008
4685,theswanprincess,NL,9771658,1994
4686,everyonesaysiloveyou,Mira.,9759200,1996
4687,thehidden,NL,9747988,1987
4688,amosandrew,Col.,9745803,1993
4689,rendition,NL,9736045,2007
4690,cloakanddagger,Uni.,9719952,1984
4691,somewhereintime,Uni.,9709597,1980
4692,fleshandbone,Par.,9709451,1993
4693,thejourneyofnattygann,BV,9708373,1985
4694,bluevalentine,Wein.,9706328,2010
4695,spacecamp,Fox,9697739,1986
4696,duplex,Mira.,9692135,2003
4697,thebutcherswife,Par.,9689816,1991
4698,simone,NL,9688676,2002
4699,thebabysittersclub,Sony,9685976,1995
4700,theperfectmatch,LGF,9669521,2016
4701,idontknowhowshedoesit,Wein.,9662284,2011
4702,country,BV,9640000,1984
4703,belly,Art.,9639390,1998
4704,popstarneverstopneverstopping,Uni.,9639125,2016
4705,withoutatrace,Fox,9632062,1983
4706,digimonthemovie,Fox,9631153,2000
4707,wrongfullyaccused,WB,9623329,1998
4708,comesahorseman,MGM,9585769,1978
4709,thespanishprisoner,SPC,9584314,1998
4710,carboncopy,Emb,9566593,1981
4711,scenesfromamall,BV,9563393,1991
4712,midnightsun,Global Road,9561064,2018
4713,fairgame,Sum.,9540691,2010
4714,shestheone,FoxS,9538948,1996
4715,thankyouforyourservice,Uni.,9536300,2017
4716,deathsentence,Fox,9534258,2007
4717,matinee,Uni.,9532895,1993
4718,fromthehip,DEG,9518342,1987
4719,smartpeople,Mira.,9511289,2008
4720,shallwedance,Mira.,9499091,1997
4721,theredviolin,Lions,9495408,1998
4722,chaplin,TriS,9493259,1992
4723,bullettothehead,WB,9489829,2013
4724,guiltybysuspicion,WB,9480198,1991
4725,awaywego,Focus,9451946,2009
4726,drstrangeloveorhowilearnedtostopworryingandlovethebomb,Col.,9440272,1964
4727,once,FoxS,9439923,2007
4728,sleepover,MGM,9436390,2004
4729,thevisitor,Over.,9427089,2008
4730,rockdog,LG/S,9420546,2017
4731,villageofthedamned,Uni.,9418365,1995
4732,funsize,Par.,9409538,2012
4733,angie,BV,9398308,1994
4734,blacksnakemoan,ParV,9396870,2007
4735,fiercecreatures,Uni.,9381260,1997
4736,tuffturf,Orion,9369329,1985
4737,dragonballevolution,Fox,9362785,2009
4738,thefriscokid,WB,9346177,1979
4739,hellraiserbloodline,Mira.,9336886,1996
4740,tully,Focus,9334930,2018
4741,werebackadinosaursstory,Uni.,9317021,1993
4742,bobbydeerfield,Col.,9300000,1977
4743,talktoher,SPC,9285469,2002
4744,lostinyonkers,Col.,9285189,1993
4745,ringmaster,Art.,9257103,1998
4746,celticpride,BV,9255027,1996
4747,hardcorehenry,STX,9252038,2016
4748,darkblue,UA,9250301,2003
4749,havana,Uni.,9243140,1990
4750,mrsbrown,Mira.,9229808,1997
4751,aseriousman,Focus,9228768,2009
4752,gladiator,Col.,9223441,1992
4753,superbabiesbabygeniuses,Triu,9219388,2004
4754,shootthemoon,MGM,9217530,1982
4755,everybodysfine,Mira.,9208876,2009
4756,bernie,MNE,9206470,2012
4757,returnofthelivingdead,Lori,9205924,1988
4758,badboys,Uni.,9190819,1983
4759,bodyparts,Par.,9188150,1991
4760,traffik,LGF,9186156,2018
4761,thefourhorsemenoftheapocalypse,MPC,9183673,1921
4762,youcancountonme,ParC,9183362,2000
4763,tylerperrypresentspeeples,LGF,9177065,2013
4764,getlow,SPC,9176933,2010
4765,amightyheart,ParV,9176787,2007
4766,asingleman,Wein.,9176000,2009
4767,penniesfromheaven,MGM,9171289,1981
4768,uleesgold,MGM,9161691,1997
4769,stonecold,Col.,9151887,1991
4770,switchingchannels,TriS,9129999,1988
4771,tap,TriS,9114702,1989
4772,meettheblacks,Free,9097072,2016
4773,warlock,Trim.,9094451,1991
4774,sweetdreams,TriS,9085049,1985
4775,ledivorce,FoxS,9081057,2003
4776,ungalloconmuchoshuevos,LGF,9080818,2015
4777,amidsummernightssexcomedy,WB,9077269,1982
4778,thelobster,A24,9077245,2016
4779,trailofthepinkpanther,MGM,9056073,1982
4780,firstdaughter,Fox,9055921,2004
4781,salmonfishingintheyemen,CBS,9047981,2012
4782,theboyinthestripedpajamas,Mira.,9046156,2008
4783,conquestoftheplanetoftheapes,Fox,9043472,1972
4784,target,WB,9023199,1985
4785,trippin,Oct.,9017070,1999
4786,theiceharvest,Focus,9016782,2005
4787,transamerica,Wein.,9015303,2005
4788,renegades,Uni.,9015164,1989
4789,whitesands,WB,9011574,1992
4790,tribute,Fox,9000000,1980
4791,saturn,AFD,9000000,1980
4792,deadlyfriend,WB,8988731,1986
4793,aliensofthedeep,BV,8968684,2005
4794,alienadventure,NWav,8959784,1999
4795,teachingmrstingle,Mira.,8951935,1999
4796,saved,UA,8940582,2004
4797,inthemouthofmadness,NL,8924549,1995
4798,bolero,Can.,8914881,1984
4799,thenextkaratekid,Col.,8914777,1994
4800,latefordinner,Col.,8906823,1991
4801,theformula,MGM,8894289,1980
4802,salsathemotionpicture,Can.,8892589,1988
4803,mysteryalaska,BV,8891623,1999
4804,battleoftheyear,SGem,8888355,2013
4805,theinkwell,BV,8880705,1994
4806,whitefangiimythofthewhitewolf,BV,8878839,1994
4807,queenofkatwe,BV,8874389,2016
4808,aptpupil,Sony,8863193,1998
4809,nightbreed,Fox,8862354,1990
4810,battlefortheplanetoftheapes,Fox,8844595,1973
4811,movie,Rela.,8840453,2013
4812,thedeepend,FoxS,8823109,2001
4813,ratchetclank,Focus,8821329,2016
4814,bodydouble,Col.,8801940,1984
4815,scandal,Mira.,8800000,1989
4816,beforeandafter,BV,8797839,1996
4817,theseekerthedarkisrising,Fox,8794452,2007
4818,oxfordblues,MGM,8793152,1984
4819,unfriendeddarkweb,BH Tilt,8783985,2018
4820,thefiveheartbeats,Fox,8750400,1991
4821,madmax,Film,8750000,1980
4822,whateverittakes,Sony,8745680,2000
4823,truebeliever,Col.,8742750,1989
4824,streetfighterthelegendofchunli,Fox,8742261,2009
