rank,title,studio,lifetime_gross,year
147,signs,BV,227966634,2002
148,hancock,Sony,227946274,2008
149,thebourneultimatum,Uni.,227471070,2007
150,logan,Fox,226277068,2017
151,rushhour,NL,226164286,2001
152,thefateofthefurious,Uni.,226008385,2017
153,walle,BV,223808164,2008
154,bighero,BV,222527828,2014
155,nationaltreasurebookofsecrets,BV,219964115,2007
156,alvinandthechipmunksthesqueakquel,Fox,219614612,2009
157,mrsdoubtfire,Fox,219195243,1993
158,beautyandthebeast,BV,218967620,1991
159,ted,Uni.,218815487,2012
160,kingkong,Uni.,218080025,2005
161,ghost,Par.,217631306,1990
162,howtotrainyourdragon,P/DW,217581231,2010
163,thedavincicode,Sony,217536138,2006
164,aladdin,BV,217350219,1992
165,alvinandthechipmunks,Fox,217326974,2007
166,savingprivateryan,DW,216540909,1998
167,madagascareuropesmostwanted,P/DW,216391482,2012
168,kungfupanda,P/DW,215434591,2008
169,missionimpossibleii,Par.,215409889,2000
170,xxmenunited,Fox,214949694,2003
171,drseussthelorax,Uni.,214030500,2012
172,soloastarwarsstory,BV,213588649,2018
173,austinpowersingoldmember,NL,213307889,2002
174,antmanandthewasp,BV,211470699,2018
175,,WB,210614939,2007
176,backtothefuture,Uni.,210609762,1985
177,fastfive,Uni.,209837675,2011
178,coco,BV,209726015,2017
179,missionimpossibleghostprotocol,Par.,209397903,2011
180,weddingcrashers,NL,209255921,2005
181,sherlockholmes,WB,209028679,2009
182,dawnoftheplanetoftheapes,Fox,208545589,2014
183,batmanbegins,WB,206852432,2005
184,charlieandthechocolatefactory,WB,206459076,2005
185,ratatouille,BV,206445654,2007
186,thorthedarkworld,BV,206362140,2013
187,austinpowersthespywhoshaggedme,NL,206040086,1999
188,terminatorjudgmentday,TriS,205881154,1991
189,theamazingspiderman,Sony,202853933,2014
190,worldwarz,Par.,202359711,2013
191,themummyreturns,Uni.,202019785,2001
192,armageddon,BV,201578182,1998
193,cinderella,BV,201151353,2015
194,tangled,BV,200821936,2010
195,godzilla,WB,200676069,2014
196,supermanreturns,WB,200081192,2006
197,spectre,Sony,200074609,2015
198,gonewiththewind,MGM,198676459,1939
199,pearlharbor,BV,198542554,2001
200,monstersvsaliens,P/DW,198351526,2009
201,happyfeet,WB,198000317,2006
202,indianajonesandthelastcrusade,Par.,197171806,1989
203,iceagedawnofthedinosaurs,Fox,196573705,2009
204,iceagethemeltdown,Fox,195330621,2006
205,missionimpossibleroguenation,Par.,195042377,2015
206,missionimpossiblefallout,Par.,193900660,2018
207,madagascar,DW,193595521,2005
208,twilight,Sum.,192769854,2008
209,toystory,BV,191796233,1995
210,jumpstreet,Sony,191719337,2014
211,cars,BV,191452396,2011
212,teenagemutantninjaturtles,Par.,191204754,2014
213,meninblackii,Sony,190418803,2002
214,dunkirk,WB,190068280,2017
215,wreckitralph,BV,189422889,2012
216,grease,Par.,188755690,1978
217,aquietplace,Par.,188024361,2018
218,interstellar,Par.,188020017,2014
219,gladiator,DW,187705427,2000
220,thecroods,Fox,187168425,2013
221,sherlockholmesagameofshadows,WB,186848418,2011
222,thedayaftertomorrow,Fox,186740799,2004
223,thepolarexpress,WB,186493472,2004
224,mrmrssmith,Fox,186336279,2005
225,snowwhiteandthesevendwarfs,Dis.,184925486,1937
226,pitchperfect,Uni.,184296230,2015
227,danceswithwolves,Orion,184208848,1990
228,batmanforever,WB,184031112,1995
229,thefugitive,WB,183875760,1993
230,therevenant,Fox,183637894,2015
231,oceanseleven,WB,183417150,2001
232,thesimpsonsmovie,Fox,183135014,2007
233,whatwomenwant,Par.,182811707,2000
234,theperfectstorm,WB,182618434,2000
235,lincoln,BV,182207973,2012
236,liarliar,Uni.,181410615,1997
237,jurassicparkiii,Uni.,181171875,2001
238,thor,Par.,181030624,2011
239,missionimpossible,Par.,180981856,1996
240,antman,BV,180202163,2015
241,planetoftheapes,Fox,180011740,2001
242,madagascarescapeafrica,P/DW,180010950,2008
243,xmenoriginswolverine,Fox,179883157,2009
244,indianajonesandthetempleofdoom,Par.,179870271,1984
245,topgun,Par.,179800601,1986
246,hitch,Sony,179495555,2005
247,mib,Sony,179020854,2012
248,prettywoman,BV,178406268,1990
249,home,Fox,177397510,2015
250,nightatthemuseumbattleofthesmithsonian,Fox,177243721,2009
251,tootsie,Col.,177200000,1982
252,howtotrainyourdragon,Fox,177002924,2014
253,riseoftheplanetoftheapes,Fox,176760185,2011
254,captainamericathefirstavenger,Par.,176654505,2011
255,thekaratekid,Sony,176591618,2010
256,theressomethingaboutmary,Fox,176484651,1998
257,iceage,Fox,176387405,2002
258,thebournesupremacy,Uni.,176241941,2004
259,getout,Uni.,176040665,2017
260,thelegobatmanmovie,WB,175750384,2017
261,thebossbaby,Fox,175003033,2017
262,crocodiledundee,Par.,174803506,1986
263,thegreatestshowman,Fox,174340174,2017
264,apollo,Uni.,173837933,1995
265,homealonelostinnewyork,Fox,173585516,1992
266,elf,NL,173398518,2003
267,nationaltreasure,BV,173008894,2004
268,airforceone,Sony,172956409,1997
269,rainman,MGM,172825435,1988
270,piratesofthecaribbeandeadmentellnotales,BV,172558876,2017
271,tronlegacy,BV,172062763,2010
272,thematrix,WB,171479930,1999
273,truegrit,Par.,171243005,2010
274,tarzan,BV,171091819,1999
275,abeautifulmind,Uni.,170742341,2001
276,chicago,Mira.,170687518,2002
277,thehelp,BV,169708112,2011
278,hoteltransylvania,Sony,169700110,2015
279,hiddenfigures,Fox,169607287,2016
280,bridesmaids,Uni.,169106725,2011
281,quantumofsolace,Sony,168368427,2008
282,wildhogs,BV,168273550,2007
283,kongskullisland,WB,168052812,2017
284,threemenandababy,BV,167780960,1987
285,gonegirl,Fox,167767189,2014
286,casinoroyale,Sony,167445960,2006
287,meettheparents,Uni.,166244045,2000
288,fiftyshadesofgrey,Uni.,166167230,2015
289,,Sony,166112167,2009
