titles01/tt0112573,tt0112573,braveheart,braveheart,http://www.imdb.com/title/tt0112573/,8.4,523797.0,10620.0,1995.0,video.movie,19,20,89,975,1008,3,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75609945
titles01/tt0112641,tt0112641,casino,casino,http://www.imdb.com/title/tt0112641/,8.2,236730.0,10680.0,1995.0,video.movie,3,7,69,550,498,3,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42512375
titles01/tt0113277,tt0113277,heat,heat,http://www.imdb.com/title/tt0113277/,8.3,324264.0,10200.0,1995.0,video.movie,0,0,64,1030,841,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67436818
titles01/tt0114709,tt0114709,toystory,toy story,http://www.imdb.com/title/tt0114709/,8.3,410650.0,4860.0,1995.0,video.movie,19,13,121,5068,311,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191796233
titles01/tt0114746,tt0114746,monkeys,monkeys,http://www.imdb.com/title/tt0114746/,8.1,342200.0,7740.0,1995.0,video.movie,10,8,47,335,498,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,57141459
titles01/tt0114787,tt0114787,underground,underground,http://www.imdb.com/title/tt0114787/,8.2,30610.0,10200.0,1995.0,video.movie,6,6,10,38,118,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,171082
titles01/tt0118715,tt0118715,thebiglebowski,the big lebowski,http://www.imdb.com/title/tt0118715/,8.2,380503.0,7020.0,1998.0,video.movie,1,9,73,1394,972,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17451873
titles01/tt0119488,tt0119488,laconfidential,l a confidential,http://www.imdb.com/title/tt0119488/,8.3,319796.0,8280.0,1997.0,video.movie,78,48,59,82,591,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,64616940
titles01/tt0120586,tt0120586,americanhistoryx,american history x,http://www.imdb.com/title/tt0120586/,8.6,550302.0,7140.0,1998.0,video.movie,3,9,42,472,1344,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6719864
titles01/tt0120689,tt0120689,thegreenmile,the green mile,http://www.imdb.com/title/tt0120689/,8.5,499240.0,11340.0,1999.0,video.movie,15,23,45,808,1290,3,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136801374
titles01/tt0137523,tt0137523,fightclub,fight club,http://www.imdb.com/title/tt0137523/,8.9,900388.0,8340.0,1999.0,video.movie,5,13,215,2613,2676,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37030102
